0,92,67
1,91,66
2,91,66
3,92,66
4,92,66
5,92,66
6,92,66
7,92,66
8,92,66
9,92,65
10,92,65
11,92,64
12,93,63
13,93,62
14,93,61
15,94,61
16,94,60
17,95,59
18,95,59
19,96,58
20,97,57
21,97,56
22,98,56
23,98,55
24,99,54
25,99,53
26,99,52
27,100,52
28,100,51
29,100,51
30,100,50
31,101,50
32,101,50
33,101,50
34,102,50
35,102,50
36,102,50
37,103,51
38,102,51
39,102,51
40,101,52
41,100,53
42,98,54
43,95,55
44,92,56
45,88,57
46,84,58
47,80,60
48,76,61
49,72,63
50,68,64
51,64,66
52,60,68
53,56,70
54,53,70
55,50,70
56,50,69
57,51,68
58,53,68
59,55,68
60,56,69
61,58,69
62,59,69
63,59,69
64,59,69
65,59,68
66,58,68
67,58,68
68,59,69
69,59,69
70,61,68
71,62,66
72,64,63
73,65,60
74,67,57
75,68,54
76,70,52
77,72,49
78,75,48
79,78,46
80,81,45
81,84,44
82,88,43
83,92,43
84,95,43
85,99,42
86,103,42
87,107,42
88,110,43
89,113,43
90,115,43
91,117,43
92,118,43
93,119,43
94,120,43
95,120,43
96,120,43
97,119,44
98,118,45
99,116,46
100,114,47
101,111,49
102,108,50
103,104,50
104,101,50
105,98,50
106,94,50
107,92,50
108,89,50
109,87,49
110,85,48
111,84,48
112,82,47
113,81,47
114,80,46
115,79,46
116,79,46
117,78,45
118,78,45
119,77,46
120,77,46
121,77,47
122,77,47
123,77,46
124,77,46
125,77,46
126,77,46
127,77,46
128,77,46
129,77,46
130,77,46
131,76,46
132,76,46
133,76,46
134,76,46
135,76,46
136,76,46
137,77,47
138,77,47
139,78,46
140,79,46
141,80,46
142,81,46
143,82,46
144,82,46
145,83,46
146,83,46
147,84,46
148,84,46
149,84,46
150,84,46
151,84,46
152,84,46
153,84,46
154,84,46
155,84,46
156,84,46
157,84,46
158,84,46
159,84,46
160,84,47
161,84,48
162,84,49
163,84,49
164,84,50
165,85,50
166,85,50
167,85,51
168,86,51
169,86,52
170,86,53
171,87,55
172,87,56
173,88,57
174,88,58
175,88,59
176,89,59
177,89,59
178,89,59
179,90,59
180,91,58
181,91,58
182,92,58
183,93,57
184,94,57
185,96,58
186,97,58
187,99,59
188,101,60
189,102,61
190,106,64
191,108,65
192,110,66
193,112,67
194,114,68
195,117,69
196,119,70
197,121,71
198,123,73
199,126,74
200,128,75
201,129,76
202,131,76
203,132,75
204,134,74
205,136,72
206,138,69
207,138,67
208,138,64
209,135,61
210,131,58
211,126,55
212,120,52
213,113,50
214,105,48
215,98,47
216,91,47
217,85,46
218,80,46
219,75,45
220,71,45
221,68,46
222,65,47
223,64,47
224,63,48
225,63,49
226,63,49
227,65,50
228,67,51
229,70,53
230,74,55
231,78,57
232,82,59
233,86,60
234,90,61
235,93,62
236,95,62
237,97,63
238,99,63
239,101,63
240,102,62
241,103,62
242,103,61
243,104,61
244,104,60
245,104,60
246,104,58
247,103,57
248,101,56
249,100,54
250,99,54
251,97,53
252,96,53
253,95,53
254,93,52
255,92,52
256,91,51
